Area,Boro,Area Type,Date,Median Price
All Upper East Side,Manhattan,submarket,2016-05,2877.5
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2013-02,2750
All Upper East Side,Manhattan,submarket,2013-02,2750
All Upper East Side,Manhattan,submarket,2013-03,2795
All Upper East Side,Manhattan,submarket,2013-03,2795
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2016-12,2875
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2015-08,2850
All Upper East Side,Manhattan,submarket,2015-08,2850
All Upper East Side,Manhattan,submarket,2017-05,2810
All Upper East Side,Manhattan,submarket,2017-06,2826
All Upper Manhattan,Manhattan,submarket,2010-01,1500
All Upper Manhattan,Manhattan,submarket,2010-01,1500
All Upper Manhattan,Manhattan,submarket,2010-01,1500
All Upper Manhattan,Manhattan,submarket,2010-01,1500
All Upper Manhattan,Manhattan,submarket,2010-06,1550
All Upper Manhattan,Manhattan,submarket,2010-07,1549
All Upper Manhattan,Manhattan,submarket,2010-06,1550
All Upper Manhattan,Manhattan,submarket,2010-09,1597.5
All Upper Manhattan,Manhattan,submarket,2010-10,1595
All Upper Manhattan,Manhattan,submarket,2010-06,1550
All Upper Manhattan,Manhattan,submarket,2010-12,1525
All Upper Manhattan,Manhattan,submarket,2010-06,1550
All Upper Manhattan,Manhattan,submarket,2010-06,1550
All Upper Manhattan,Manhattan,submarket,2011-03,1600
All Upper Manhattan,Manhattan,submarket,2011-03,1600
All Upper Manhattan,Manhattan,submarket,2011-03,1600
All Upper Manhattan,Manhattan,submarket,2011-03,1600
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2011-08,1750
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2011-03,1600
All Upper Manhattan,Manhattan,submarket,2012-01,1625
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2011-07,1650
All Upper Manhattan,Manhattan,submarket,2012-05,1675
All Upper Manhattan,Manhattan,submarket,2011-03,1600
All Upper Manhattan,Manhattan,submarket,2012-07,1640
All Upper Manhattan,Manhattan,submarket,2012-03,1700
All Upper Manhattan,Manhattan,submarket,2012-03,1700
